node	opportunity	top_1pct_pair_count	top_1pct_pair_rate
127	2744	0	0
128	97	0	0
129	2220	0	0
130	132	0	0
131	200	0	0
132	84	1	0.0119047619047619
133	54	0	0
134	2	1	0.5
135	1	1	1
136	81	0	0
137	14	2	0.142857142857143
138	6	0	0
139	9	3	0.333333333333333
140	2	2	1
141	1	1	1
142	2	1	0.5
143	1	1	1
144	1	1	1
145	14	5	0.357142857142857
146	12	2	0.166666666666667
147	4	2	0.5
148	1	1	1
149	1	0	0
150	2	2	1
151	1	0	0
152	1	1	1
153	3	0	0
154	2	0	0
155	1	1	1
156	15	0	0
157	2	0	0
158	1	1	1
159	4	1	0.25
160	3	1	0.333333333333333
161	2	2	1
162	1	1	1
163	4	0	0
164	1	1	1
165	1	0	0
166	539	0	0
167	490	0	0
168	300	0	0
169	96	3	0.03125
170	35	5	0.142857142857143
171	12	6	0.5
172	3	0	0
173	2	0	0
174	1	1	1
175	2	0	0
176	1	0	0
177	6	2	0.333333333333333
178	1	0	0
179	2	1	0.5
180	1	1	1
181	15	3	0.2
182	4	0	0
183	4	1	0.25
184	1	1	1
185	1	0	0
186	2	0	0
187	1	0	0
188	44	0	0
189	10	0	0
190	9	0	0
191	20	0	0
192	6	0	0
193	1	1	1
194	2	0	0
195	1	0	0
196	3	0	0
197	2	0	0
198	1	0	0
199	3	0	0
200	2	0	0
201	1	0	0
202	33	0	0
203	24	0	0
204	15	0	0
205	4	1	0.25
206	4	1	0.25
207	1	0	0
208	1	1	1
209	2	0	0
210	1	0	0
211	2	0	0
212	1	0	0
213	2	0	0
214	1	0	0
215	30	0	0
216	6	0	0
217	2	0	0
218	1	0	0
219	1	0	0
220	5	1	0.2
221	4	1	0.25
222	3	2	0.666666666666667
223	2	2	1
224	1	1	1
225	187	0	0
226	16	0	0
227	60	0	0
228	16	0	0
229	15	0	0
230	4	3	0.75
231	3	0	0
232	2	0	0
233	1	0	0
234	2	1	0.5
235	1	0	0
236	1	0	0
237	9	0	0
238	2	0	0
239	1	1	1
240	2	0	0
241	1	1	1
242	28	0	0
243	10	0	0
244	6	0	0
245	2	1	0.5
246	1	1	1
247	1	1	1
248	1	0	0
249	4	0	0
250	1	0	0
251	1	0	0
