accepted_tree_tip	original_species_name	superfamily	family	MLS_years	body_mass_g	expected_MLS_years	LQ_mammal	log_LQ_mammal	MLS_trait_id	MLS_source	MLS_source_link	mass_trait_id	mass_source	mass_source_link	taxonomic_mapping_status	genome_samples	genome_available
Allenopithecus_nigroviridis	Allenopithecus_nigroviridis	OWM	Cercopithecidae	27	5300	32.7184273049	0.825223038638	-0.192101579322	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	2	True
Allochrocebus_lhoesti	Allochrocebus_lhoesti	OWM	Cercopithecidae	24.1	5500	32.9482861413	0.731449274681	-0.312727405177	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	2	True
Allochrocebus_preussi	Allochrocebus_preussi	OWM	Cercopithecidae	26	4525	31.7552980242	0.81876101368	-0.199963040301	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Alouatta_caraya	Alouatta_caraya	PLA	Atelidae	32.4	5380	32.8112012613	0.987467656	-0.012611536161	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	4	True
Alouatta_palliata	Alouatta_palliata	PLA	Atelidae	24	6120	33.6202005272	0.713856539332	-0.337073262136	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Alouatta_seniculus	Alouatta_seniculus	PLA	Atelidae	25	6010	33.5051491743	0.746153967855	-0.292823308848	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	38	True
Aotus_azarae	Aotus_azarae	PLA	Aotidae	21.2	1210	24.7486045153	0.856613955218	-0.154767922529	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	14	True
Aotus_lemurinus	Aotus_lemurinus	PLA	Aotidae	33.8	890	23.352801721	1.44736380687	0.369743837521	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	4	True
Aotus_trivirgatus	Aotus_trivirgatus	PLA	Aotidae	30.1	770	22.7222339849	1.32469369077	0.281181255936	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Aotus_vociferans	Aotus_vociferans	PLA	Aotidae	22.1	700	22.3165887452	0.990294719876	-0.00975268331231	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	5	True
Arctocebus_calabarensis	Arctocebus_calabarensis	STR	Lorisidae	13	310	19.1324964229	0.679472229481	-0.386438915275	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Ateles_belzebuth	Ateles_belzebuth	PLA	Atelidae	35.2	8070	35.424471421	0.993663379806	-0.00635678178765	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	5	True
Ateles_chamek	Ateles_chamek	PLA	Atelidae	42.8	9370	36.438715842	1.17457487211	0.160906271156	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	42	True
Ateles_fusciceps	Ateles_fusciceps	PLA	Atelidae	46	9030	36.1850573665	1.27124297563	0.239995142805	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	30	True
Ateles_geoffroyi	Ateles_geoffroyi	PLA	Atelidae	47.1	7540	34.9725633099	1.34677002605	0.29770915238	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Ateles_marginatus	Ateles_marginatus	PLA	Atelidae	44	6960	34.4474776438	1.2773068744	0.244753857026	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
