comparison_id	method	fg_combination_id	fg_combination_occurrence	bg_strategy	fg_species	bg_species
001	caas	FG016	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
002	caas	FG012	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
003	caas	FG018	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
004	caas	FG014	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
005	caas	FG010	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
006	caas	FG007	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Trachypithecus_pileatus
007	caas	FG013	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
008	caas	FG026	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
009	caas	FG026	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
010	caas	FG034	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
011	caas	FG032	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
012	caas	FG009	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
013	caas	FG024	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
014	caas	FG016	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
015	caas	FG007	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
016	caas	FG021	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
017	caas	FG010	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
018	caas	FG030	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
019	caas	FG014	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer
