comparison_id	method	species	role
001	caas	Aotus_trivirgatus	FG
001	caas	Cercocebus_torquatus	FG
001	caas	Lemur_catta	FG
001	caas	Nomascus_concolor	FG
001	caas	Eulemur_rubriventer	BG
001	caas	Macaca_tonkeana	BG
001	caas	Mico_humeralifer	BG
001	caas	Trachypithecus_pileatus	BG
002	caas	Aotus_trivirgatus	FG
002	caas	Cercocebus_torquatus	FG
002	caas	Eulemur_fulvus	FG
002	caas	Lemur_catta	FG
002	caas	Alouatta_seniculus	BG
002	caas	Eulemur_rubriventer	BG
002	caas	Mico_humeralifer	BG
002	caas	Trachypithecus_pileatus	BG
003	caas	Aotus_trivirgatus	FG
003	caas	Eulemur_fulvus	FG
003	caas	Eulemur_macaco	FG
003	caas	Nomascus_concolor	FG
003	caas	Alouatta_seniculus	BG
003	caas	Macaca_thibetana	BG
003	caas	Macaca_tonkeana	BG
003	caas	Mico_humeralifer	BG
004	caas	Aotus_trivirgatus	FG
004	caas	Cercocebus_torquatus	FG
004	caas	Eulemur_macaco	FG
004	caas	Lemur_catta	FG
004	caas	Eulemur_rubriventer	BG
004	caas	Macaca_thibetana	BG
004	caas	Macaca_tonkeana	BG
004	caas	Trachypithecus_pileatus	BG
005	caas	Aotus_trivirgatus	FG
005	caas	Ateles_geoffroyi	FG
005	caas	Lemur_catta	FG
005	caas	Nomascus_concolor	FG
005	caas	Eulemur_rubriventer	BG
005	caas	Macaca_thibetana	BG
005	caas	Macaca_tonkeana	BG
005	caas	Mico_humeralifer	BG
006	caas	Aotus_trivirgatus	FG
006	caas	Ateles_geoffroyi	FG
006	caas	Eulemur_fulvus	FG
006	caas	Nomascus_concolor	FG
006	caas	Alouatta_seniculus	BG
006	caas	Eulemur_rubriventer	BG
006	caas	Macaca_tonkeana	BG
006	caas	Trachypithecus_pileatus	BG
007	caas	Aotus_trivirgatus	FG
007	caas	Cercocebus_torquatus	FG
007	caas	Eulemur_fulvus	FG
007	caas	Nomascus_concolor	FG
007	caas	Alouatta_seniculus	BG
007	caas	Eulemur_rubriventer	BG
007	caas	Macaca_thibetana	BG
007	caas	Macaca_tonkeana	BG
008	caas	Ateles_geoffroyi	FG
008	caas	Cercocebus_torquatus	FG
008	caas	Lemur_catta	FG
008	caas	Nomascus_concolor	FG
008	caas	Macaca_thibetana	BG
008	caas	Macaca_tonkeana	BG
008	caas	Mico_humeralifer	BG
