Superfamily	Family	Species	Maximum.lifespan..y.	BodyMass_kg	LQ	LQ_mean_family	LongLivedCFG	ShortLivedCFG
PLA	Aotidae	Aotus_azarae	21.2	1.21	0.856613955217582	1.1547415431836903	0	0
PLA	Aotidae	Aotus_trivirgatus	30.1	0.77	1.324693690770587	1.1547415431836903	1	0
PLA	Callitrichidae	Cebuella_pygmaea	18.6	0.12	1.1631705772553698	1.0372495175296086	0	0
STR	Cheirogaleidae	Cheirogaleus_major	13.4	0.505	0.6386728390460764	1.0971616961152215	0	1
STR	Lemuridae	Eulemur_mongoz	36.2	1.375	1.4277924459923135	1.1310458804921466	1	0
STR	Lemuridae	Eulemur_rubriventer	20.0	1.9975	0.735078485826479	1.1310458804921466	0	0
APE	Hylobatidae	Hoolock_hoolock	41.0	6.88	1.1928212329567771	1.3647487429472336	0	0
APE	Hylobatidae	Hylobates_agilis	49.0	6.0	1.4629221414285052	1.3647487429472336	1	0
APE	Hylobatidae	Hylobates_klossii	37.0	5.8	1.111756180877716	1.3647487429472336	0	0
APE	Hylobatidae	Hylobates_lar	52.0	5.64	1.5707508822256369	1.3647487429472336	1	0
APE	Hylobatidae	Hylobates_muelleri	60.0	5.35	1.8305774361662617	1.3647487429472336	1	0
APE	Hylobatidae	Nomascus_concolor	46.1	7.69	1.3132776899388987	1.3647487429472336	1	0
APE	Hylobatidae	Nomascus_leucogenys	44.1	6.5	1.2968617594161278	1.3647487429472336	0	0
PLA	Pitheciidae	Plecturocebus_donacophilus	25.0	0.95	1.0574162168842602	1.0058241047995196	0	0
PLA	Pitheciidae	Plecturocebus_moloch	26.2	0.99	1.0995676620026176	1.0058241047995196	0	0
PLA	Callitrichidae	Saguinus_midas	21.0	0.56	0.9815388115852617	1.0372495175296086	0	0
APE	Hylobatidae	Symphalangus_syndactylus	43.0	11.3	1.1390226205679443	1.3647487429472336	0	0
PLA	Aotidae	Aotus_lemurinus	33.8	0.89	1.447363806870924	1.1547415431836903	1	0
PLA	Aotidae	Aotus_vociferans	22.1	0.7	0.9902947198756681	1.1547415431836903	0	0
PLA	Atelidae	Ateles_chamek	42.8	9.37	1.1745748721093858	1.072751795711854	0	0
PLA	Atelidae	Ateles_marginatus	44.0	6.96	1.277306874395723	1.072751795711854	0	0
PLA	Pitheciidae	Cacajao_calvus	35.8	3.17	1.2058090676283857	1.0058241047995196	0	0
PLA	Cebidae	Cebus_olivaceus	47.0	2.88	1.612012470143719	1.4386739154480084	1	0
OWM	Cercopithecidae	Cercopithecus_lowei	30.0	3.9	0.9716408456917347	0.9064781958602356	0	0
OWM	Cercopithecidae	Cercopithecus_pogonias	27.0	3.58	0.8887417687472127	0.9064781958602356	0	0
PLA	Pitheciidae	Chiropotes_albinasus	20.0	2.82	0.6886977014603463	1.0058241047995196	0	1
PLA	Pitheciidae	Chiropotes_satanas	19.6	2.885	0.6720231456662432	1.0058241047995196	0	1
PLA	Callitrichidae	Leontocebus_nigricollis	20.2	0.48	0.9720587074416338	1.0372495175296086	0	0
STR	Lorisidae	Nycticebus_bengalensis	25.5	1.26	1.0225060038585325	1.0111163879696563	0	0
