Domain	Family	Genus	SpeciesName	SamplesTMB	Maximum.lifespan..y.	Body_mass	BodyMass_kg	LQ	LQ_class
STR	Cheirogaleidae	Allocebus	Allocebus_trichotis	0			0.08		
PLA	Aotidae	Aotus	Aotus_azarae	14	21.2	7.094234846	1.21	0.856613955217582	LOW
PLA	Aotidae	Aotus	Aotus_griseimembra	4			0.51		
PLA	Aotidae	Aotus	Aotus_nancymaae	2		6.668228248	0.79		
PLA	Aotidae	Aotus	Aotus_trivirgatus	1	30.1	6.896694332	0.77	1.324693690770587	HIGH
STR	Indriidae	Avahi	Avahi_laniger	2		7.095893221	1.175		
STR	Indriidae	Avahi	Avahi_occidentalis	1		6.685860947	0.8		
PLA	Callitrichidae	Cebuella	Cebuella_pygmaea	7	18.6	4.753590191	0.12	1.1631705772553698	HIGH
STR	Cheirogaleidae	Cheirogaleus	Cheirogaleus_crossleyi	0			0.29		
STR	Cheirogaleidae	Cheirogaleus	Cheirogaleus_major	2	13.4	5.991464547	0.505	0.6386728390460764	LOW
STR	Lemuridae	Eulemur	Eulemur_mongoz	6	36.2	7.100027167	1.375	1.4277924459923135	HIGH
STR	Lemuridae	Eulemur	Eulemur_rubriventer	5	20.0	7.580699752	1.9975	0.735078485826479	LOW
STR	Lemuridae	Hapalemur	Hapalemur_aureus	1			1.515		
APE	Hylobatidae	Hoolock	Hoolock_hoolock	11	41.0		6.88	1.1928212329567771	HIGH
APE	Hylobatidae	Hylobates	Hylobates_agilis	1	49.0	8.67419694	6.0	1.4629221414285052	HIGH
APE	Hylobatidae	Hylobates	Hylobates_klossii	1	37.0	8.664750756	5.8	1.111756180877716	HIGH
APE	Hylobatidae	Hylobates	Hylobates_lar	30	52.0	8.629628621	5.64	1.5707508822256369	HIGH
APE	Hylobatidae	Hylobates	Hylobates_moloch	0	45.0		6.42	1.3264293189175445	HIGH
APE	Hylobatidae	Hylobates	Hylobates_muelleri	1	60.0	8.669227347	5.35	1.8305774361662617	HIGH
APE	Hylobatidae	Hylobates	Hylobates_pileatus	0	38.0	8.607033895	5.47	1.1545153493729547	HIGH
STR	Indriidae	Indri	Indri_indri	2		8.753845093	6.465		
PLA	Callitrichidae	Leontopithecus	Leontopithecus_chrysopygus	0	17.9		0.615	0.821961267980258	LOW
STR	Lepilemuridae	Lepilemur	Lepilemur_edwardsi	0		6.836259277	0.975		
STR	Lepilemuridae	Lepilemur	Lepilemur_ruficaudatus	2		6.690842277	0.78		
APE	Hylobatidae	Nomascus	Nomascus_concolor	1	46.1		7.69	1.3132776899388987	HIGH
APE	Hylobatidae	Nomascus	Nomascus_gabriellae	4		8.904494329	5.2		
APE	Hylobatidae	Nomascus	Nomascus_leucogenys	1	44.1	8.782629655	6.5	1.2968617594161278	HIGH
PLA	Pitheciidae	Plecturocebus	Plecturocebus_donacophilus	1	25.0		0.95	1.0574162168842602	EXPECTED
PLA	Pitheciidae	Plecturocebus	Plecturocebus_moloch	10	26.2	6.774223886	0.99	1.0995676620026176	EXPECTED
PLA	Callitrichidae	Saguinus	Saguinus_midas	4	21.0	6.333279628	0.56	0.9815388115852617	EXPECTED
APE	Hylobatidae	Symphalangus	Symphalangus_syndactylus	3	43.0	9.332115429	11.3	1.1390226205679443	HIGH
PLA	Atelidae	Alouatta	Alouatta_arctoidea	0			6.37		
PLA	Atelidae	Alouatta	Alouatta_belzebul	10		8.763271714	6.4		
PLA	Atelidae	Alouatta	Alouatta_discolor	3			6.37		
PLA	Atelidae	Alouatta	Alouatta_guariba	2		8.551594618	5.54		
PLA	Atelidae	Alouatta	Alouatta_macconnelli	13			6.37		
PLA	Atelidae	Alouatta	Alouatta_nigerrima	2			6.45		
PLA	Atelidae	Alouatta	Alouatta_ululata	0			4.7		
PLA	Aotidae	Aotus	Aotus_brumbacki	0			0.67		
PLA	Aotidae	Aotus	Aotus_jorgehernandezi	0					
PLA	Aotidae	Aotus	Aotus_lemurinus	4	33.8	6.598509029	0.89	1.447363806870924	HIGH
PLA	Aotidae	Aotus	Aotus_miconax	0			0.8		
PLA	Aotidae	Aotus	Aotus_nigriceps	5			0.96		
PLA	Aotidae	Aotus	Aotus_vociferans	5	22.1		0.7	0.9902947198756681	EXPECTED
PLA	Aotidae	Aotus	Aotus_zonalis	0			0.9		
PLA	Atelidae	Ateles	Ateles_chamek	42	42.8		9.37	1.1745748721093858	HIGH
PLA	Atelidae	Ateles	Ateles_hybridus	6		8.969796306	8.6		
PLA	Atelidae	Ateles	Ateles_marginatus	1	44.0		6.96	1.277306874395723	HIGH
STR	Indriidae	Avahi	Avahi_betsileo	0			1.0		
