Family	Top	Bottom	LQ.fam.avg	LQ.top	LQ.bottom	LQ.top.diff.fam	LQ.bottom.diff.fam	Flag
Atelidae	Ateles_geoffroyi	Alouatta_palliata	1.072751795711854	1.346770026054302	0.7138565393323573	0.2740182303424481	0.3588952563794967	True
Callitrichidae	Callithrix_jacchus	Mico_humeralifer	1.0372495175296086	1.1845604283656832	0.7402746242028094	0.14731091083607462	0.29697489332679916	False
Cercopithecidae	Macaca_fascicularis	Macaca_thibetana	0.9064781958602356	1.2392353547274253	0.673321433159766	0.3327571588671897	0.2331567627004696	True
Cercopithecidae	Cercopithecus_cephus	Allochrocebus_lhoesti	0.9064781958602356	1.1913510255044302	0.7314492746807562	0.2848728296441946	0.17502892117947944	False
Cercopithecidae	Cercocebus_torquatus	Papio_ursinus	0.9064781958602356	1.316639779450848	0.7594229198630175	0.4101615835906124	0.14705527599721813	False
Cheirogaleidae	Cheirogaleus_medius	Cheirogaleus_major	1.0971616961152215	1.3553446510354628	0.6386728390460764	0.25818295492024124	0.4584888570691451	True
Lemuridae	Eulemur_mongoz	Eulemur_rubriventer	1.1310458804921466	1.4277924459923137	0.735078485826479	0.2967465655001671	0.39596739466566766	True
Lemuridae	Lemur_catta	Prolemur_simus	1.1310458804921466	1.344975617953977	0.6479457807284796	0.2139297374618303	0.48310009976366697	True
Lorisidae	Nycticebus_coucang	Arctocebus_calabarensis	1.0111163879696563	1.1723972764874953	0.679472229481382	0.16128088851783895	0.33164415848827433	False
Pitheciidae	Cacajao_calvus	Chiropotes_albinasus	1.0058241047995196	1.2058090676283857	0.6886977014603463	0.19998496282886613	0.3171264033391733	False
