family	genera
Cercopithecidae	Allenopithecus,Cercocebus,Cercopithecus,Chlorocebus,Colobus,Erythrocebus,Lophocebus,Macaca,Mandrillus,Miopithecus,Nasalis,Papio,Piliocolobus,Presbytis,Pygathrix,Rhinopithecus,Semnopithecus,Theropithecus,Trachypithecus
Unknown	Allochrocebus,Unknown
Atelidae	Alouatta,Ateles,Brachyteles,Lagothrix
Aotidae	Aotus
Lorisidae	Arctocebus,Loris,Nycticebus,Perodicticus
Indriidae	Avahi,Indri,Propithecus
Pitheciidae	Cacajao,Callicebus,Cheracebus,Chiropotes,Pithecia,Plecturocebus
Callitrichidae	Callibella,Callimico,Callithrix,Cebuella,Leontocebus,Leontopithecus,Mico,Saguinus
Tarsiidae	Carlito,Cephalopachus,Tarsius
Cebidae	Cebus,Saimiri,Sapajus
Cheirogaleidae	Cheirogaleus,Microcebus,Mirza
Daubentoniidae	Daubentonia
Lemuridae	Eulemur,Hapalemur,Lemur,Prolemur,Varecia
Galagidae	Galago,Galagoides,Otolemur,Paragalago
Hominidae	Gorilla,Pan,Pongo
Hylobatidae	Hoolock,Hylobates,Nomascus,Symphalangus
Lepilemuridae	Lepilemur
Ptilocercidae	Ptilocercus
