FAMILY	GENUS	SPECIES	COUNTA de PDID
Aotidae	Aotus	Aotus_aotus	1
		Aotus_azarae	14
		Aotus_griseimembra	4
		Aotus_lemurinus	4
		Aotus_NA	4
		Aotus_nancymaae	2
		Aotus_nigriceps	5
		Aotus_sp	1
		Aotus_trivirgatus	1
		Aotus_vociferans	5
	Aotus Total		41
Aotidae Total			41
Atelidae	Alouatta	Alouatta_belzebul	10
		Alouatta_caraya	4
		Alouatta_discolor	3
		Alouatta_guariba	2
		Alouatta_juara	9
		Alouatta_macconnelli	13
		Alouatta_nigerrima	2
		Alouatta_palliata	1
		Alouatta_puruensis	11
		Alouatta_seniculus	38
		Alouatta_sp	5
	Alouatta Total		98
	Ateles	Ateles_belzebuth	5
		Ateles_chamek	42
		Ateles_fusciceps	30
		Ateles_geoffroyi	3
		Ateles_hybridus	6
		Ateles_marginatus	1
		Ateles_paniscus	3
		Ateles_sp	1
	Ateles Total		91
	Brachyteles	Brachyteles_hypoxanthus	2
	Brachyteles Total		2
	Lagothrix	Lagothrix_cana	4
		Lagothrix_lagotricha	18
		Lagothrix_sp	4
	Lagothrix Total		26
Atelidae Total			217
Callitrichidae	Callibella	Callibella_humilis	7
	Callibella Total		7
	Callicebus	Callicebus_lucifer	2
	Callicebus Total		2
	Callimico	Callimico_goeldii	2
	Callimico Total		2
	Callithrix	Callithrix_geoffroyi	2
		Callithrix_jacchus	6
		Callithrix_kuhlii	1
	Callithrix Total		9
	Cebuella	Cebuella_niveiventris	5
		Cebuella_pygmaea	7
	Cebuella Total		12
	Leontocebus	Leontocebus_fuscicollis	10
		Leontocebus_illigeri	2
		Leontocebus_nigricollis	1
		Leontocebus_sp	1
		Leontocebus_weddelli	19
	Leontocebus Total		33
	Leontopithecus	Leontopithecus_chrysomelas	4
		Leontopithecus_rosalia	5
	Leontopithecus Total		9
	Mico	Mico_acariensis	2
		Mico_argentatus	9
		Mico_crysoleucos	2
		Mico_humeralifer	5
		Mico_intermedius	1
		Mico_manicorensis	1
		Mico_marcai	11
		Mico_mauesi	2
		Mico_nigriceps	5
		Mico_saterei	4
		Mico_schneideri	1
		Mico_sp	6
	Mico Total		49
	Saguinus	Saguinus_bicolor	1
		Saguinus_fuscicollis	14
		Saguinus_geoffroyi	1
		Saguinus_illigeri	1
		Saguinus_imperator	13
		Saguinus_inustus	4
		Saguinus_labiatus	20
		Saguinus_martinsi	5
		Saguinus_midas	4
		Saguinus_mystax	11
		Saguinus_nigricollis	3
		Saguinus_ochraceus	1
		Saguinus_oedipus	15
		Saguinus_sp	4
	Saguinus Total		97
Callitrichidae Total			220
Cebidae	Cebus	Cebus_albifrons	15
		Cebus_cuscinus	1
		Cebus_imitator	9
		Cebus_olivaceus	4
		Cebus_sp	1
		Cebus_unicolor	18
	Cebus Total		48
	Saimiri	Saimiri_boliviensis	4
		Saimiri_cassiquiarensis	11
		Saimiri_macrodon	18
