SpeciesBROAD,GroupName,PTD00023,PTD00001,PTD00002,PTD00003,PTD00004,PTD00005,PTD00006,PTD00007,PTD00008,PTD00009,PTD00010,PTD00011,PTD00012,PTD00013,PTD00014,PTD00015,PTD00016,PTD00017,PTD00018,PTD00019,PTD00020,PTD00021,PTD00022,PTD00024,PTD00025,PTD00026,PTD00027,PTD00028,PTD00029,PTD00030,PTD00031,PTD00032,PTD00033,PTD00034,PTD00035,PTD00036,PTD00037,PTD00038,PTD00039,PTD00040,PTD00041,PTD00042,PTD00043,PTD00044,PTD00045,PTD00046,PTD00047,PTD00048,PTD00049,PTD00050,PTD00051,PTD00052,PTD00053,PTD00054,PTD00055,PTD00056,PTD00057,PTD00058,PTD00059,PTD00060,PTD00061,PTD00062,PTD00063,PTD00064,PTD00065,PTD00066,PTD00067,PTD00068,PTD00069,PTD00070,PTD00071,PTD00072,PTD00073,PTD00074,PTD00075,PTD00076,PTD00077,PTD00078,PTD00079,PTD00080,PTD00081,PTD00082,PTD00083,PTD00084,PTD00085,PTD00086,PTD00087,PTD00088,PTD00089,PTD00090,PTD00091,PTD00092,PTD00093,PTD00094,PTD00095,PTD00096,PTD00097,PTD00098,PTD00099,PTD00100,PTD00101,PTD00102,PTD00103,PTD00104,PTD00105,PTD00106,PTD00107,PTD00108,PTD00109,PTD00110,PTD00111,PTD00112,PTD00113,PTD00114,PTD00115,PTD00116,PTD00117,PTD00118,PTD00119,PTD00120,PTD00121,PTD00122,PTD00123,PTD00124,PTD00125,PTD00126,PTD00127,PTD00128,PTD00129,PTD00130,PTD00131,PTD00132,PTD00133,PTD00134,PTD00135,PTD00136,PTD00137,PTD00138,PTD00139,PTD00140,PTD00141,PTD00142,PTD00143,PTD00144,PTD00145,PTD00146,PTD00147,PTD00148,PTD00149,PTD00150,PTD00151,PTD00152,PTD00153,PTD00154,PTD00155,PTD00156,PTD00157,PTD00158,PTD00159,PTD00160,PTD00161,PTD00162,PTD00163,PTD00164,PTD00165,PTD00166,PTD00167,PTD00168,PTD00169,PTD00170,PTD00171,PTD00172,PTD00173,PTD00174,PTD00175,PTD00176,PTD00177,PTD00178,PTD00179,PTD00180,PTD00181,PTD00182,PTD00183,PTD00184,PTD00185,PTD00186,PTD00187,PTD00188,PTD00189,PTD00190,PTD00191,PTD00192,PTD00193,PTD00194,PTD00195,PTD00196,PTD00197,PTD00198,PTD00199,PTD00200,PTD00201,PTD00202,PTD00203,PTD00204,PTD00205,PTD00206,PTD00207,PTD00208,PTD00209,PTD00210,PTD00211,PTD00212,PTD00213,PTD00214,PTD00215,PTD00216,PTD00217,PTD00218,PTD00219,PTD00220,PTD00221,PTD00222,PTD00223,PTD00224,PTD00225,PTD00226,PTD00227,PTD00228,PTD00229,PTD00230,PTD00231,PTD00232,PTD00233,PTD00234,PTD00235,PTD00236,PTD00237,PTD00238,PTD00239,PTD00240,PTD00241,PTD00242,PTD00243,PTD00244,PTD00245,PTD00246,PTD00247,PTD00248,PTD00249,PTD00250,PTD00251,PTD00252,PTD00253,PTD00254,PTD00255,PTD00256,PTD00257,PTD00258,PTD00259,PTD00260,PTD00261,PTD00262,PTD00263
Allocebus_trichotis,STR_Cheirogaleidae_Allocebus_trichotis,1,,,Monochromatic,Solitary,,Absent,,,Monogamous,,,,,0.08,0.092,0.084,N,Omnivore,AR,3,1,Forest,,,92,84,1.095,1,1,1,,,,,,-16.59,1902.3,20.3,1388.2,1653.7,,,,,,,,,,,,,Pair,Bisexual,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aotus_azarae,PLA_Aotidae_Aotus_azarae,1,7.094234846,3.028683374,Monochromatic,Pair,0.69,Present,Discrete,Low,Monogamous,,,,Yes,1.21,1.18,1.23,CA,Omnivore,AR,1,1,Forest/Savanna,20.67,20.69,1180,1230,0.959,3.1,1,1,1,365,,229.69,360,-17.05,1010.9,24.6,1186.2,1410.8,0.95,,,45,41,,,,,,,Monogamy,Pair,Bisexual,No,1230,20.7,,,365,126.5,229.7,5,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,85,1186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aotus_griseimembra,PLA_Aotidae_Aotus_griseimembra,,,,Monochromatic,Pair,,Present,Discrete,Low,Monogamous,133,75,0.36,No,0.51,0.1,0.923,N,,AR,3,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bisexual,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aotus_nancymaae,PLA_Aotidae_Aotus_nancymaae,1.02,6.668228248,2.884241898,Monochromatic,Pair,0.57,Present,Discrete,Low,Monogamous,131,75,0.36,No,0.79,0.795,0.78,N,Frugivore,AR,3,,Forest,,,794,780,1.018,3.9,1,1,1,,,,,-4.59,2280.4,26.1,1531.3,1533.1,,,,,,,,,,,,,Pair,Bisexual,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,58.5,1531,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aotus_trivirgatus,PLA_Aotidae_Aotus_trivirgatus,1.06,6.896694332,2.824350657,Monochromatic,Pair,0.43,Present,Discrete,Low,Monogamous,133,75,0.36,No,0.77,0.813,0.736,N,Frugivore,AR,1,,Forest,16.85,16.13,1044.4,933.3,1.119,2.9,1,1,1,271,142,76.21,303.6,4.15,1786,24.8,1488.1,1676.3,0.02,0.66,4.1359,45.5,10,15,1.11,,,,,Monogamy,Pair,Bisexual,No,933,15.7,90.2,1.01,341,133,76,4,30.1,0.235,Monogamous,No,1,1,2.9,813,736,1.105,5.34,4.81,1.11,813,1.2,1020,882,0,0,0,0,0,0,0,0,0,0,0,0,0,455.5,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19.2,10,5,16681.48,675.3,1818.33,409,1098,12128,56,0.22,394,83.3,862,862,243,539,9453.33,5230,,,,,,,,874,36,203,201,1.72,2.48,1.74,,,,,3.829411765,1.315088235,0.5597072059,812.0294118,,,,0.5263636364,19.88235294,,27.91470588,8.8,,93.51515152,,0.7382352941,,,,3,,,,277.1818182,,,,,,,,,,,,,,5.205882353,,4.408823529,,182.1515152,79.72727273,,6.829411765,,,,,16.21875,,0.2043478261,,,,,,,,,,,,
Avahi_laniger,STR_Indriidae_Avahi_laniger,1.01,7.095893221,2.288486169,Dichromatic,Pair,4.54,Absent,Discrete,Low,Monogamous,136.15,150,0.52,Yes,1.175,1.03,1.32,N,Folivore,AR,3,1,Forest,9.86,10.1,1106,1307,0.846,3,1,1,1,365,136.15,149.15,,-19.63,1769,19.7,1334.1,1600.1,0.01,0.46,4.0766,,,,0.942,,,,,Monogamy,Pair,Bisexual,,1106,9.9,,,,135,153,2.58,,,Monogamous,No,,1,2.5,1030,1320,0.78,3.58,3.79,0.945,1030,2.09,1300,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,34.3,1334,2,,,,,,,,,,,,,,,,,,9751.61,553.35,1489,343,862,6550,89.2,3.01,284,69.7,524,524,241,526,4813,,,,,,,,,475,27.4,,,1.76,2.14,1.48,26,36,14,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avahi_occidentalis,STR_Indriidae_Avahi_occidentalis,1.02,6.685860947,2.073171929,Dichromatic,Pair,,Absent,Discrete,Low,Monogamous,,,,Yes,0.8,0.814,0.777,N,Folivore,AR,4,1,Forest,7.95,,836.3,766.5,1.091,3.5,1,1,1,,,,,-17.38,1184.4,24.9,981.5,1557.8,0.01,,,,,,,,,,,Monogamy,Pair,Bisexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9222.71,508.46,1383,345,861,6026,70.1,2.55,265,69.3,478,478,222,476,4443,,6.52,489,137,80.5,74.5,5.94,38.3,450,27.2,,,1.64,1.62,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebuella_pygmaea,PLA_Callitrichidae_Cebuella_pygmaea,1.93,4.753590191,1.458615023,Polymorphic,Unimale,0.35,Present,Discrete,Low,Monogamous,137,90,0.4,No,0.12,0.11,0.122,D,Omnivore,AR,3,1,Forest,4.17,4.33,110,122,0.902,2,1.5,1,0.67,182.5,125,90.73,181.2,-5.96,2085.3,25.6,1483.2,1526.1,0.002,0.29,5.5846,,,,1.034,,,,,Polyandry,Pair,Bisexual,No,116,4.2,16.3,2.06,213,142,91,1.9,18.6,0.675,Monogamous,No,,1.4,5.5,110,122,0.902,3.08,2.98,1.034,110,0.33,130,117,0,0,0,0,0,0,0,0,0,0,0,0,0,88.6,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,63.5,1483,2,163,141.05,4.4,0.86,1.86,1.91,13.49,6.96,0.76,6.2,0.18,25.26,21.95,,,,,4149.86,185,468,192,342,3099,12.3,0.39,133,29.2,174,174,81.8,133,2535,,3.68,190,69.2,27.7,25.8,1.95,23.8,363,,,,0.56,0.54,0.56,6,14,2,22,4.85,,0.7678845,170.2666667,,3.694444444,,0.2,17.30555556,0.1212934524,45.60916667,9.102777778,117,,300.3333333,0.6583333333,5.266666667,445.4333333,,,155.8055556,40.01388889,13.43055556,,,49.52777778,3730.555556,,21.30555556,63.63888889,33.83333333,3.833333333,393.1111111,,,38.55555556,3819.444444,5.216666667,,,6.294722222,50.22222222,13.5,,6.716666667,,,8.680555556,,,,,,,,,,,,156.6666667,7.297222222,,,
Cheirogaleus_crossleyi,STR_Cheirogaleidae_Cheirogaleus_crossleyi,,,,Dichromatic,Solitary,,Absent,,,Monogamous,70,45,0.39,,0.29,,,N,Omnivore,AR,,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheirogaleus_major,STR_Cheirogaleidae_Cheirogaleus_major,2.26,5.991464547,1.759580571,Dichromatic,Solitary,4.55,Absent,,Low,Monogamous,71,70,0.5,Yes,0.505,0.574,0.443,N,Folivore_frugivore,AR,3,1,Forest,5.81,5.63,438,362,1.21,1,1,1,,,65,47.14,180,-18.76,1676.3,20.3,1320.2,1592.7,0.02,,,,,,,,,,,Spatial Polygyny,Solitary,Bisexual,No,400,5.6,18.1,2.25,365,70,70,1,13.4,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,60,1320,0,,,,,,,,,,,,,,1.5,12.6,,4,6441.17,381.62,947,241,489,4313,158,4.04,332,58.9,327,327,149,347,2938,,4.83,271,101,33.8,31.6,2.27,18,433,21.5,233,99.4,1.04,1.56,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
