ID,Trait,Description,Description+values,Source,Link
PTD00001,Body_mass,Body mass,Body mass,Smaers et al. 2021,https://advances.sciencemag.org/content/7/18/eabe2101
PTD00002,Brain_mass,Brain mass,Brain mass,Smaers et al. 2021,https://advances.sciencemag.org/content/7/18/eabe2101
PTD00003,Colour_vision,Colour vision,Colour vision,Onstein et al. 2020,https://royalsocietypublishing.org/doi/10.1098/rspb.2019.2731
PTD00004,Social_organization,Social system,Social system,Kappeler et al. 2019,https://advances.sciencemag.org/content/5/12/eaay1276
PTD00005,Coenspecific_violence,% intraspecific deaths,% intraspecific deaths,Goméz et al. 2016,https://www.nature.com/articles/nature19758#MOESM215
PTD00006,Paternal_care,Care for at least 30% infant time,Care for at least 30% infant time (Present/Absent),Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00007,Female_Ranging_patterns,Overlapping ranges > or < 5%,Overlapping ranges > or < 5%  (Overlaping/Discrete),Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00008,Infanticide,Killing of newborn,Killing of newborn (High/Low),Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00009,Mating_system,Mating system,Mating system,Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00010,Gestation_length,Gestation period in days,Gestation period in days,Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00011,Weaning_age,Weaning period in days,Weaning period in days,Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00012,Weaning_prop,Proportion of lactation from breeding cycle,Proportion of lactation from breeding cycle (Lact/Lact+Gestation),Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00013,Seasonal_breeders,Seasonal breeding,Yes/No,Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00014,BodyMass_kg,Body mass,Body mass,Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
PTD00015,BodyMassMale_kg,Body mass in males,Body mass in males,Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
PTD00016,BodyMassFemale_kg,Body mass in females,Body mass in females,Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
